구명,median_price_2023,median_price_2025,price_growth,trade_share_2023,trade_share_2025,trade_share_change,trade_count_2023,trade_count_2025,trade_count_growth
강남구,199000.0,253000.0,0.271356783919598,0.06573363684905713,0.05137245026441702,-0.014361186584640105,2339,4284,0.8315519452757588
강동구,103000.0,126000.0,0.22330097087378642,0.06168676053171458,0.06581045916225972,0.004123698630545139,2195,5488,1.5002277904328019
강북구,54000.0,65450.0,0.21203703703703702,0.0240283281342214,0.015181494405871137,-0.008846833728350262,855,1266,0.4807017543859649
강서구,71000.0,82000.0,0.15492957746478872,0.05095129696765309,0.05541365375160389,0.004462356783950801,1813,4621,1.5488141202426917
관악구,73000.0,83000.0,0.136986301369863,0.026585729140319817,0.028672158866064685,0.0020864297257448677,946,2391,1.5274841437632136
광진구,111900.0,139000.0,0.2421805183199285,0.01967231543152629,0.02596203427228358,0.00628971884075729,700,2165,2.092857142857143
구로구,63000.0,66000.0,0.047619047619047616,0.04164910209931709,0.045232698972311164,0.0035835968729940743,1482,3772,1.5452091767881242
금천구,57000.0,58300.0,0.02280701754385965,0.01562543911418374,0.011176266023911453,-0.004449173090272287,556,932,0.6762589928057554
노원구,55000.0,58500.0,0.06363636363636363,0.07455807548548464,0.06938398628149321,-0.005174089203991428,2653,5786,1.1809272521673577
도봉구,49700.0,53000.0,0.06639839034205232,0.03184104769131327,0.022760249907064312,-0.009080797784248956,1133,1898,0.675198587819947
동대문구,77000.0,86500.0,0.12337662337662338,0.043082370795042575,0.048530416951469584,0.005448046156427008,1533,4047,1.639921722113503
동작구,101500.0,127000.0,0.2512315270935961,0.03512913469915409,0.04964564521351225,0.014516510514358164,1250,4140,2.312
마포구,114000.0,141000.0,0.23684210526315788,0.04207065171570694,0.05091676559820604,0.008846113882499104,1497,4246,1.8363393453573815
서대문구,80375.0,100000.0,0.24416796267496113,0.03675912654919484,0.040088258924824025,0.003329132375629186,1308,3343,1.555810397553517
서초구,208000.0,245000.0,0.1778846153846154,0.04454374279852739,0.037534026453694046,-0.007009716344833342,1585,3130,0.9747634069400631
성동구,121000.0,149000.0,0.23140495867768596,0.04398167664334092,0.05632502308402586,0.012343346440684938,1565,4697,2.0012779552715654
성북구,73000.0,83500.0,0.14383561643835616,0.05488576005395835,0.05467016824357544,-0.0002155918103829077,1953,4559,1.334357398873528
송파구,154000.0,169250.0,0.09902597402597403,0.07748081949245426,0.06712954635392308,-0.01035127313853118,2757,5598,1.030467899891186
양천구,105000.0,124350.0,0.18428571428571427,0.045414945339066405,0.04427336283291962,-0.0011415825061467863,1616,3692,1.2846534653465347
영등포구,94000.0,112200.0,0.19361702127659575,0.05081078042885648,0.05522178652372558,0.004411006094869101,1808,4605,1.5470132743362832
용산구,177000.0,175000.0,-0.011299435028248588,0.015934575499536294,0.018934897051240542,0.0030003215517042485,567,1579,1.784832451499118
은평구,69500.0,81000.0,0.16546762589928057,0.046229941264086784,0.03543547864877505,-0.010794462615311737,1645,2955,0.7963525835866262
종로구,105950.0,110750.0,0.045304388862671074,0.008880645251946154,0.008226307395282465,-0.0006543378566636893,316,686,1.1708860759493671
중구,94500.0,117000.0,0.23809523809523808,0.01554112919090577,0.016296722667913804,0.0007555934770080344,553,1359,1.45750452079566
중랑구,57000.0,62000.0,0.08771929824561403,0.026922968833431694,0.025806142149632453,-0.0011168266837992408,958,2152,1.2463465553235908
